Date;Time;Type;Information;Group;Code;Status;Class;Cause;Consequence;Action;Parameters
17-04-30;10:25:13;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402391 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547913 | microsecond=656927 | nbr_parameters=9 | os_date=2017:04:30 | os_time=16:19:27 | sys_up_time=136:11:50:57.83 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;10:25:13;alarm;"Link down at device 172.23.7.122  ";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402390 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547913 | microsecond=620815 | nbr_parameters=10 | os_date=2017:04:30 | os_time=16:19:27 | sys_up_time=136:11:50:57.80 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
17-04-30;10:25:13;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402389 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547913 | microsecond=274185 | nbr_parameters=9 | os_date=2017:04:30 | os_time=16:19:27 | sys_up_time=173:19:21:10.34 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;10:25:13;alarm;"Link up at device 172.23.5.126";Snmp;311;Pulse;D;"Node connected to device 172.23.5.126 located in Armadio119";"New device present in network";"No action required";"identity=20402388 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547913 | microsecond=263602 | nbr_parameters=10 | os_date=2017:04:30 | os_time=16:19:27 | sys_up_time=173:19:21:10.32 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 8 "
17-04-30;10:25:11;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402387 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547911 | microsecond=33755 | nbr_parameters=9 | os_date=2017:04:30 | os_time=16:19:25 | sys_up_time=136:11:50:55.20 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;10:25:11;alarm;"Link up at device 172.23.7.122";Snmp;311;Pulse;D;"Node connected to device 172.23.7.122  ";"New device present in network";"No action required";"identity=20402386 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547911 | microsecond=26561 | nbr_parameters=10 | os_date=2017:04:30 | os_time=16:19:25 | sys_up_time=136:11:50:55.19 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkUpChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkUpChangeWarning = 7 "
17-04-30;10:25:10;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402385 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547910 | microsecond=484820 | nbr_parameters=9 | os_date=2017:04:30 | os_time=16:19:24 | sys_up_time=173:19:21:07.55 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::statWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;10:25:10;alarm;"Link down at device 172.23.5.126 located in Armadio119";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402384 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493547910 | microsecond=479542 | nbr_parameters=10 | os_date=2017:04:30 | os_time=16:19:24 | sys_up_time=173:19:21:07.54 | ip_address=172.23.5.126 | mac_address=00:07:7C:91:7E:FE | location=Armadio119 | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 8 "
17-04-30;01:25:01;alarm;"No info available (since no template found)";Snmp;0;Pulse;A;"The alarm code is unknown to the interlocking system";"The alarm information cant be translated to a understandable text message";"Contact the supplier of the interlocking system";"identity=20402383 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515501 | microsecond=341636 | nbr_parameters=9 | os_date=2017:04:30 | os_time=07:19:03 | sys_up_time=136:2:50:57.59 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::statNoWarning | nbr_trap_parameters=0 | trap_parameters=  "
17-04-30;01:25:01;alarm;"Link down at device 172.23.7.122  ";Snmp;310;Pulse;B;"Network problem or node shutdown";"No network connection to a node";"Identify the node";"identity=20402382 | nbr_reactivations=1 | nbr_seconds_active=0 | second=1493515501 | microsecond=311791 | nbr_parameters=10 | os_date=2017:04:30 | os_time=07:19:03 | sys_up_time=136:2:50:57.56 | ip_address=172.23.7.122 | mac_address=00:07:7C:91:7E:A0 | location= | trap_oid=ONTIMENET-LYNX-MIB::linkDownChangeWarning | nbr_trap_parameters=1 | trap_parameters= linkDownChangeWarning = 7 "
